%time,field.header.seq,field.header.stamp,field.header.frame_id,field.height,field.width,field.distortion_model,field.D0,field.D1,field.D2,field.D3,field.D4,field.K0,field.K1,field.K2,field.K3,field.K4,field.K5,field.K6,field.K7,field.K8,field.R0,field.R1,field.R2,field.R3,field.R4,field.R5,field.R6,field.R7,field.R8,field.P0,field.P1,field.P2,field.P3,field.P4,field.P5,field.P6,field.P7,field.P8,field.P9,field.P10,field.P11,field.binning_x,field.binning_y,field.roi.x_offset,field.roi.y_offset,field.roi.height,field.roi.width,field.roi.do_rectify
1504235167202704881,10965,1504235167146593740,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235167232767860,10966,1504235167206771729,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235167292504550,10967,1504235167273647435,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235167384146811,10968,1504235167340274704,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235167420050480,10969,1504235167406976869,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235167497703927,10970,1504235167473702679,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235167582903626,10971,1504235167540169585,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235167642721565,10972,1504235167606922114,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235167684296968,10973,1504235167673526154,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235167783051995,10974,1504235167740162590,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235167850959204,10975,1504235167807484125,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235167890424412,10976,1504235167873596190,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
1504235167965351054,10977,1504235167940242313,/zed_current_frame,720,1280,plumb_bob,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,687.82635498,362.7449646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.82635498,0.0,660.878112793,0.0,0.0,687.82635498,362.7449646,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
